,Country name,Total cases,Total deaths,Total recovered,Active cases,New cases,New deaths,Total tests,Population
0,,,,,,,,,
1,World,"697,756,675","6,937,920","669,456,103","21,362,652","+46,690",+87,,
2,USA,"109,290,848","1,181,894                                ","107,239,442","869,512",,,"1,186,431,916","334,805,269 "
3,India,"45,001,464","533,295                                ",N/A,N/A,,,"930,797,975","1,406,631,776 "
4,France,"40,138,560","167,642                                ","39,970,918",0,,,"271,490,188","65,584,518 "
5,Germany,"38,589,718","177,360                                ","38,240,600","171,758",,,"122,332,384","83,883,596 "
6,Brazil,"37,994,356","706,986                                ","36,249,161","1,038,209",,,"63,776,166","215,353,593 "
7,S. Korea,"34,571,873","35,934                                ","34,535,939",0,,,"15,804,065","51,329,899 "
8,Japan,"33,803,572","74,694                                ",N/A,N/A,,,"100,414,883","125,584,838 "
9,Italy,"26,284,403","192,717                                ","25,925,946","165,740",,,"275,228,417","60,262,770 "
10,UK,"24,804,243","231,324                                ","24,557,910","15,009",,,"522,526,476","68,497,907 "
11,Russia,"23,200,294","400,395                                ","22,603,773","196,126","+41,386",+76,"273,400,000","145,805,947 "
12,Turkey,"17,232,066","102,174                                ",N/A,N/A,,,"162,743,369","85,561,976 "
13,Spain,"13,914,811","121,760                                ","13,762,417","30,634",,,"471,036,328","46,719,142 "
14,Australia,"11,800,893","22,892                                ","11,769,911","8,090",,,"81,916,639","26,068,792 "
15,Vietnam,"11,624,114","43,206                                ","10,640,971","939,937",,,"85,826,548","98,953,541 "
16,Taiwan,"10,241,523","19,005                                ","10,222,518",0,,,"30,742,304","23,888,595 "
17,Argentina,"10,080,046","130,685                                ","9,949,361",0,,,"35,716,069","46,010,234 "
18,Netherlands,"8,620,051","22,992                                ","8,596,843",216,,,"25,984,435","17,211,447 "
19,Mexico,"7,649,199","334,472                                ","6,899,865","414,862",,,"20,013,810","131,562,772 "
20,Iran,"7,623,061","146,633                                ","7,377,233","99,195",,,"57,320,267","86,022,837 "
21,Indonesia,"6,813,875","161,920                                ","6,646,988","4,967",,,"114,158,919","279,134,505 "
22,Poland,"6,545,231","119,724                                ",N/A,N/A,"+1,813",+4,"38,915,956","37,739,785 "
23,Colombia,"6,384,009","143,067                                ","6,203,441","37,501",,,"36,951,507","51,512,762 "
24,Greece,"6,101,379","37,089                                ","6,064,290",0,,,"102,228,365","10,316,637 "
25,Austria,"6,081,287","22,542                                ","6,054,934","3,811",,,"211,273,524","9,066,710 "
26,Portugal,"5,631,281","27,686                                ","5,602,731",864,,,"46,139,518","10,140,570 "
27,Ukraine,"5,557,995","112,418                                ","5,445,577",0,,,"32,603,805","43,192,122 "
28,Chile,"5,309,441","64,497                                ","5,244,444",500,,,"50,284,378","19,250,195 "
29,Malaysia,"5,132,831","37,186                                ","5,084,061","11,584",,,"68,580,916","33,181,072 "
